rapper,lyrics
2pac,"You're in the kitchen, tryin' to fix us a hot plate
You just workin' with the scraps you was given"
2pac,"Gettin' high, watchin' time fly; to live and die in L.A
To live and die in L.A., it's the place to be"
2pac,"Thug Life, niggas better be knowin'
We approachin' in the wide open, gun smokin'"
2pac,"This bitch is tellin' all her homies
That I can fuck her like no other now them other bitches wanna bone me"
2pac,"My main man had two strikes, slipped, got arrested, and flipped
He screamed ""Thug Life"" and emptied the clip"
2pac,"From player to player, the game's tight, the feeling's mutual
From hustlin' and prayers to breakin' motherfuckers to pay us"
2pac,"I'm wonderin' if that's her hair, I remember
Stickball, humpin' hoochies on the wall"
2pac,"I'm tired of bein' poor and, even worse, I'm black
My stomach hurts so I'm lookin' for a purse to snatch"
2pac,"Gettin' lessons from niggas in penitentiaries
Game, when applied, help me survive several centuries"
2pac,"Sucker, duck and get busted, no emotion
My devotion is handlin' my business, nigga, keep on coastin'"
2pac,"Keepin all these dreams
Provin nature's laws wrong"
2pac,"Gotta keep myself from falling, but it's hard
All the cuties know I'm under pressure, what do I do?"
2pac,"Now you 'bout to feel the wrath of a menace (Uh-huh, yeah)
Nigga, I hit 'em up"
2pac,"So I'ma get smart and get defensive and shit
And put together a Million March for some gangsta shit"
2pac,"The blow is like a 12-Gauge shotty
Uh, feel me"
2pac,"Check out my diamonds, bitch, every one go bling
This be a thug thing, Outlaw nigga with riches"
2pac,"Try to find a way to make it out the game
I leave this and hope God can see my heart is pure"
2pac,"I'm watchin' as the world goes by
'Cause they don't give a fuck about us"
2pac,"Media is in my business and they actin' like they know me (Haha)
But I'ma mash out and peel out"
2pac,"(I'm tryna make a change)
(You're my brother, you're my sister, yeah)"
2pac,"Equipped with game so we bang with this thuggish shit
I see you tryin' to hide, hopin' that nobody don't notice"
2pac,"Little Mu', pass the MAC and let me hit 'em in his back
Frank White needs to get spanked right for settin' traps"
2pac,"Tha Doggfather, and all his niggas
You know what time it is"
2pac,"And everywhere I turn I see niggas burn
Every nigga that I know is on death row"
2pac,"Me, Syke and Bogart are strapped up the same night
Got problems, then handle it, motherfuckers see me"
2pac,"Hahahahaha, yeah, nigga, yeah! Hahahaha, no more pain
It's just like that, nigga, like that, yeah, no more pain"
2pac,"My enemies your enemies
'Cause you ain't ever had a friend like me"
2pac,"(""When we were kids, belonging felt good..."")
I see death around the corner"
2pac,"'Cause I roll with Immortal thug niggas
And my number one plan to kill a man to grab a needle and drug niggas"
2pac,"Straight in control, flows'll fold, while hoes cold stroll
Hold the set, I told Dramacy' go in next"
2pac,"Heh heh, take care, run wild, but be smart
Follow the rules of the game"
2pac,"But when I start to rise
A hero in they children's eyes (Uh-huh)"
2pac,"Complicated to escape, it's a fool's fate
Without your word, you a shell of a man"
2pac,"Some buck that I roughed up way back
Comin' back after all these years"
2pac,"Smokin' weed helped me take away the pain
So I'm hopeless, rollin' down the freeway swervin', don't worry"
2pac,"Hey! Better days
Thinkin' 'bout better days"
2pac,"But when I start to rise
A hero in they children's eyes"
2pac,"You wonda why they call you bitch
I betcha"
2pac,"Haha, we ain't fuckin' around
Haha, we troublesome"
2pac,"Only God can judge me (That right?)
Only God can judge me now"
2pac,"Tryna earn every penny that I'm gettin'
I'm reminiscin' to the beginnin' of my mission"
2pac,"Tell me, what's wrong? (What's wrong, nigga?)
They wanna bury me, I'm worried"
2pac,"Now everybody's lookin' for the latter
And ain't no need in being greedy, if you wanna see me"
2pac,"Baby, your taste is fine as gravy
The way you move that thing"
2pac,"Fuck Mobb Deep, fuck Biggie
Fuck Bad Boy as a staff, record label, and as a motherfuckin' crew"
2pac,"‘Pac started thinking about how these... Read More
Said he wanna be, shorty's gonna be a thug"
2pac,"We bucks them down on the way to the ground, ain't nothin' but the hog in me
Plus, stompin' steel toed, killin' up ho's and keep mobbin' G"
2pac,"Nobody knows where we'll be
My enemies your enemies"
2pac,"Believe that!
'Cause you ain't never had a friend like me!"
2pac,"So I can fly until the end of time
Until the end of time, until the end of time"
2pac,"While de people in de ghetto feel nuff pain
(What!)"
2pac,"Remember the block-- 'Member screamin' up at your moms from the window?
(LL Cool J is hard as Hell...)"
2pac,"I say the darker the flesh, then the deeper the roots (Oh)
I give a holla to my sisters on welfare"
2pac,"and I find it difficult 2 carry on
If I had an ear 2 confide in"
2pac,"'Cause you ain't ever had a friend like me
Nobody knows where we'll be"
2pac,"The homies wanna kick it, but I'm just laughin' at cha
'Cause you's a down-ass bitch and I ain't mad at cha"
2pac,"Call me your prophet 'cause I predicted what's gon' happen
I began the paper, stackin' at those who be paper snatchin'"
2pac,"I'm down for you so ride with me
My enemies your enemies"
2pac,"""No heart for the fightin'""
""I was in every gang, they had about five, I was in all of 'em"
2pac,"Some of them ribs and shit
I'll be back through later tonight, I'm havin' some weed"
2pac,"Forgive me for my mistakes, I gotta play my hand
And my hand's on a sixteen-shot, semi-automatic"
2pac,"Got the police bustin' at me
But they can't do nothin' to a G"
2pac,"But they can't do nothin' to a G
I won't deny it, I'm a straight ridah"
2pac,"(You are not little Kim, you fat bitch, get it straight)
(You know who I'm talkin' 'bout)"
2pac,"It's us that's knockin' us off
I'm tellin' you better watch it, or be a victim"
2pac,"Same thing with me, y'knahmean? I grew out of all of this
Instead of sayin, ""Damn, he did this, he did this,"""
2pac,"No, I ain't mad at you, baby, go 'head and play them fools
They chose not to listen, so now he stuck inside his house"
2pac,"Got nuttin' to lose, I gots nowhere to go
I only got one home, see me stranded on Death Row"
2pac,"In order to get paid, forced to make crack sales
Caught a nigga so they send me to these overpacked jails"
2pac,"Picture me rollin'
Is y'all ready for me?"
2pac,"Nuf for dem dat steal in the name of da Lord
Dem a tell nuff lie, but holdin' my bird in a cloud"
2pac,"Was raised up, commence to money-makin' tactics, uh
It's getting drastic, niggas got automatics"
2pac,"Now, on this ride there's gonna be some real motherfuckers
And there's gonna be some pussies"
2pac,"My little homie G, can't you see I'm buster-free?
Niggas can't stand me; all eyes on me"
2pac,"Only God can judge me
Only God can judge me, only God"
2pac,"Hey, DeVante, I'm givin' these motherfuckers choices
Niggas can roll with us, or they can be rolled up under us"
2pac,"All eyes on me
The feds is watchin', niggas plottin' to get me"
2pac,"Dripping wet, as we experiment in sweaty sex
When you met me you wouldn't let me, and now"
2pac,"Nothin' more I despise than a liar, cowards die
My mama told me when I was a seed"
2pac,"Busting at niggas who said my name in vain
I got no time for them tricks, I'm heavy in the game"
2pac,"I wanna take your misery
Replace it with happiness but I need your faith in me, I'm a sucker for love"
2pac,"You still ain't touching us, all that peace talk
I don't care if you kiss my ass from here to across the street, boy"
2pac,"Last year we poured out liquor for ya
This year, nigga, life goes on, we're gonna clock now"
2pac,"Baby (Oh, oh, oh yeah, yeah)
Don't you know she's got a"
2pac,"This ghetto life has got me catchin' up to God quicker
Who would figure that all I need was a hair trigger"
2pac,"Like 25 to life never crossed they mind
Tell me young nigga never learned a thang"
2pac,"Scandalous (She's so scandalous, she's so scandalous)
She's so scandalous (She's so scandalous, she's so scandalous)"
2pac,"Like Akai satellite, nigga, I'm forever ballin'
It ain't right: parasites, triggers, and fleas crawlin'"
2pac,"The message I stress: to make it stop, study your lessons
Don't settle for less, even the genius asks his questions"
2pac,"I'm just a nigga on his own now
Livin' life thug style, so I can't smile"
2pac,"Right before your eyes, I'll disappear from here
You niggas can't see me"
2pac,"I told y'all niggas when I come home it's on
That's right, nigga, picture me rollin'"
2pac,"I can't be touched 'cause of the weapons I clutch
And the niggas that I'm under is just too much, we made niggas"
2pac,"How I made it can be easily stated
It's like my hardest bring the grip with the passion"
2pac,"This goes out to you, playa, you know who you are
Got to be careful, can't let the evil of the money trap me"
2pac,"Got a nigga goin' crazy
I feel crazy (crazy)"
2pac,"Non-believers get my dick and genital backwards
Let's face it, there's no replacement"
2pac,"We ain't even come to hurt nobody tonight
But it's my life or your life, and I'ma bomb first"
2pac,"But keep me cooped up in this ghetto and catch the Uzi
They got me trapped"
2pac,"Screamin', ""Thug 'til I die!"" before I passed out
But now that you're gone, I'm in the zone"
2pac,"Witness the tears fallin' free from my eyes before she could reply
Though we were born without a silver spoon"
2pac,"Jealous niggas I despise, look in my eyes
We tradin' war stories, Outlawz on the rise"
2pac,"Long as you just bring me your friends (Cash makin' hoes)
Why you trickin' on them other hoes? Let's be friends"
2pac,"It's about the money in this rap shit, this crap shit
It ain't funny, niggas don't even know how to act, shit"
2pac,"Only God can judge me, only God
Only God can judge me"
2pac,"I'm tellin' you now, you motherfuckers don't know me
Only fear of death— (You ghetto niggas)"
2pac,"I'm losin' my mind, look down the barrel of my nine and my vision's blurry
Fallin' to pieces, am I guilty?"
2pac,"Witnessed me strapped with MACs, knew I wouldn't play that
All you old rappers tryna advance"
2pac,"Where everybody wanna see
And my angels go"
2pac,"Picture perfection, pursuing paper with a passion
Visions of prisons for all the pussies that I blasted"
2pac,"Real niggas do what they wanna do, bitch niggas do what they can
They got me starin' at the world through my rearview"
2pac,"Nigga walk up in this motherfucker and it be like, ""Bing!""
Cops, bitches, every-motherfuckin'-body"
2pac,"You know they got me trapped
Nah, they can't keep the Black man down"
2pac,"(Get high, puffin' on lah)
Wonder if it get me high, yeah"
2pac,"Let's go inside my astral plane
Hahahahaha, yeah, nigga, yeah! Hahahaha, no more pain"
2pac,"My niggas, we the last ones left, and life goes on
Yeah nigga, I got the word it's hell"
2pac,"Ooh, child, things are gonna get easier
(Keep-keep ya head up)"
2pac,"California knows how to party
California knows how to party (Yes, they do)"
2pac,"Lord! (God!) I suffered through the years and shed so many tears
God, I lost so many peers and—"
2pac,"Now I'm the last motherfucker breathin'
Make sure I hold my position, stand firm in the dirt"
2pac,"I'm waitin' by the phone, this is true love, I can feel it
I've had a lot of women in my bed, but you the realest"
2pac,"Schemes for currency and dough-related
Affiliated with the hustlers, so we made it"
2pac,"Throw up your hands if you thugged out
First nigga act up, first nigga gettin' drugged out"
2pac,"And my regime includes East Coast, includes West Coast
I was more shocked than anything"
2pac,"Jealous niggas I despise, look in my eyes
We tradin' war stories, Outlawz on the rise"
2pac,"They got me trapped
Nah, they can't keep the Black man down"
2pac,"Picture me, picture me rollin'
Picture me rollin'"
2pac,"If you ain't in this rap game for the motherfuckin' cash, mane
Then what is your motherfuckin' purpose? None can serve us"
2pac,"Was taught lessons, a young nigga askin' questions
While other suckers was guessin', I was gangsta sexin'"
2pac,"'Cause you ain't ever had a friend like me
Nobody knows where we'll be"
2pac,"Nigga, my girlfriend, though we separated at times
I knew deep inside, baby girl would always be mine"
2pac,"My only fear of death
My only fear of death is comin' back reincarnated"
2pac,"I started with a quarter ounce, soon bounced to a key
You gotta watch your back, stay strapped, be alert"
2pac,"You know what I mean?
Last year we poured out liquor for ya"
2pac,"Could take the life of a young nigga, guns bigger
No mother and father, you see, the nigga's all alone"
2pac,"I won't deny it, I'm a straight ridah
You don't wanna fuck with me"
2pac,"Keep your head up, nigga, make these motherfuckers suffer
Up in the Benz, burnin' rubber"
2pac,"Said he's gonna be, said he's gonna be
One day he's gonna be, shorty's gonna be a thug"
2pac,"This is dedicated to the real niggas
All the real troublesome soldiers on the streets"
2pac,"Hahaha, see y'all niggas, motherfuckin' niggas are shit, hey
Westside! Death to everybody that ain't down with me"
2pac,"Wanna dig you, and I can't even lie about it
Baby, just alleviate your clothes, time to fly up out it"
2pac,"We tradin' war stories, Outlawz on the rise
Jealous niggas I despise, look in my eyes"
2pac,"And now the money's lookin' lovely
Pop the drop top and now the bitches wanna rub me"
2pac,"I got shot five times, but I'm still breathin'
Livin' proof there's a God if you need a reason"
2pac,"You are appreciated
Lady, don't you know we love ya? (Dear Mama)"
2pac,"Just 'cause we bone don't mean you own me, nigga, I'm grown
You can run the streets with your thugs"
2pac,"I don't wanna but I gotta do it, the temptation
Got me ready to release the fluid, sensation"
2pac,"With all this extra stressin', the question I wonder is after death, after my last breath
When will I finally get to rest through this oppression?"
2pac,"In this game, the lesson's in your eyes to see
Though things change, the future's still inside of me"
2pac,"In this game, the lesson's in your eyes to see
Though things change, the future's still inside of me"
2pac,"Toss it up for me
I like the way you give it to me"
2pac,"Little girl like LaTasha had to die
She never got to see the bullet, just heard the shot"
2pac,"Westside, when we ride, come equipped with game
You claim to be a player, but I fucked your wife"
2pac,"Don't worry 'bout a thing, baby girl, I'm a soldier (huh)
Never treated me bad, no matter who I was"
2pac,"Hopin' you listen, I catch you payin' attention
To my ambitions as a ridah"
2pac,"A real live tale about a snitch named Haitian Jack
Knew he was workin' for the feds (I knew it)"
2pac,"Chillin' with homies and family
Sky high, iced out, paradise, in the sky (In thugs mansion)"
2pac,"Won't you toss it up (Yeah, no doubt)
Won't you toss it up, yeah (Let me see you toss it up)"
2pac,"Bringin' a cease to the peace that was on my block
It never stops, when my mama ask me will I change"
2pac,"And all the other people on my block hate your guts
Then you wonder why they stare and call you slut"
2pac,"I'm out the cut, uncut and raw with no clause for all
So all my rhymes hit and split the bricks on the wall (Yeah)"
2pac,"Revenge is the method, whenever steppin', keep a weapon close
Adversaries are overdosed over deadly notes"
2pac,"Style-bitin', thug-lyin' niggas, give it up! We hit 'em up!
And we still breathin' and we still breathin'..."
2pac,"Do you feel me? Keys to ignition, use at your discretion
Roll with a 12 gauge pump for protection"
2pac,"And even though I'm marked for death
I'ma spark 'til I lose my breath, motherfuckers"
2pac,"We all gon' die, get yours 'cause I'ma get mine
Tha Outlawz, we be the Don Juan's of this rough shit"
2pac,"Can you put your middle finger out the window
Gettin' fucked off liquor, gettin' loaded, can't control it"
2pac,"I stop and stare at the younger
My heart goes to 'em, they tested with stress that they under"
2pac,"I want his family dead! I want his house burnt to the ground!
I wanna go there in the middle of the night, I wanna piss on his ashes!"
2pac,"It's a trip, I love the way she licks her lips, see me jockin'
Put a little twist in her hips ‘cause I'm watchin'"
2pac,"Drop a top on these jealous niggas, player, let me floss
Y'all don't wanna see me in pain"
2pac,"Got the clear spot from the rear block
To bust 'til every nigga here drop, men, I fear not"
2pac,"Should have never fucked with me
I want money, hoes, sex and weed"
2pac,"(""When we were kids, belonging felt good..."")
I see death around the corner"
2pac,"In this world where everyone's blind?
(Born black, in this white man's world)"
2pac,"Here we go; we gon' send this one out to the old school
All these motherfuckers in the Bronx, and Brooklyn, and Staten Island"
2pac,"And now I'm in the rap game, like the crack game, I got enemies
Can't pretend to see my friends are not my enemies"
2pac,"Ain't no place I'd rather be
Only place that's right for me"
2pac,"Last night, my buddy lost his whole family
It's gonna take the man in me to conquer this insanity (Oh, no, no, no)"
2pac,"Tell me, nigga, tell me
Who'll be the last motherfucker breathin'?"
2pac,"You always was committed
A poor single mother on welfare, tell me how you did it"
2pac,"You are appreciated
When I was young, me and my mama had beef"
2pac,"From a thug to preachin' church
I gave you love, now you eatin' dirt"
2pac,"All my real niggas (Throw your mothafuckin' hands up!)
Where my niggas, where my niggas?"
2pac,"But I ain't trippin', I'm a player, I ain't sweatin' him
I sexed his sister, had him mumblin'"
2pac,"Live the life as a thug nigga until the day I die
Live the life as a boss player 'cause even gettin' high"
2pac,"Talkin' 'bout a bad day—I live a life like that
It's severe, and I'm losin' my hair, bless a hooligan"
2pac,"And all I got left are stinkin' memories
I love them niggas to death, I'm drinkin' Hennessy"
2pac,"Check your sexuality, as fruity as this Alizé
Quick to jump ship, punk trick, what a dumb move"
2pac,"Because it's so much pressure now
And I neeeeed to get awayyyheyyyeahhh"
2pac,"Had me puffin' on that buddha gettin' buzzed, 'cause there I was
Them block parties in the projects and on my block"
2pac,"Dear departed, I shed tattooed tears
And couldn't sleep good for multiple years"
2pac,"What do we have here now?
Do you wanna ride or die?"
2pac,"Can't trust a bitch in the business so I got with Death Row (Yeah)
Now these money-hungry bitches gettin' suspicious"
2pac,"I get deadly as Khan, though
With a bear and a snake and a panda, I'm all those"
2pac,"Why you got these kids' minds thinkin' that they evil?
While the preacher bein' freaky, you say, ""Honor God's people"""
2pac,"Apart from being one of the better known songs from the album, this song is exceptional in demonstrating Pac’s... Read More
Yo, Mo Bee, mane, drop that shit"
2pac,"That make it possible for me to drop a few to wreck yo' brain
Imagine and keep on wishin' upon a star"
2pac,"These niggas play these Cali days
C. Delores Tucker, you's a motherfucker"
2pac,"Make a few records about it, and it's goin' to be over
You know what I'm sayin'?"
2pac,"I check the house before I bone, so we all alone
After I nut, I hit the highway, see ya later"
2pac,"Everybody got they own thing, currency chasin'
Worldwide through the hard times, worrying faces"
2pac,"In the gutter you learn to have a criminal mind
I was addicted to tryin', never meant to do time"
2pac,"Oh, I know you can!
I know you—that's why we finna do it"
2pac,"And begged a bitch to let you sleep in the house? Uh
Now it's all about Versace, you copied my style"
2pac,"Well, if I couldn't have it (Silly rabbit) why you sweatin' me?
It's a lot of real Gs doin' time"
2pac,"Have a party at my funeral, let every rapper rock it
Let the hoes that I used to know"
2pac,"With a bunch of niggas that don't give a fuck, ridin' as my soldiers
I just release 'em on a war path, not your average dealer"
2pac,"With no more dealers and crooked cops, the only way to stop the beast
And only we can change"
2pac,"Made niggas on your motherfuckin' tear, I'm a made nigga
Call me a Bad Boy killer, murder motherfuckers daily"
2pac,"Feel me, nigga? Feel me?
How you figure you can fuck with me? No more pain"
2pac,"And my number one plan to kill a man to grab a needle and drug niggas
Niggas don't like us, because they bitches straight love us"
2pac,"(Hey, eyy-ayyaahhyy)
Give 'em the finger"
2pac,"Expect a blood bath, the aftermath is y'alls
I told you, last album, we need help 'cause we dyin'"
2pac,"I'm like a fiend that finally sees when all the dope is gone
My nerves is wrecked, heart beatin'"
2pac,"Fuck you to the Ameri-K-K-Ka
Fuck you to all you redneck prejudice motherfuckers"
2pac,"How the fuck they gon' be the mob when we always on our job? (Take money) We millionaires
Killin' ain't fair, but somebody gotta do it (Take money)"
2pac,"Uh, yeah, Oaktown
Oakland definitely in the house"
2pac,"I'm faced with the scars beyond this one bar
For me to put down my guard, I'm faced what I'ma ride"
2pac,"Killin' ain't fair, but somebody gotta do it (Take money)
Oh yeah, Mobb Deep, huh, you wanna fuck with us? (Take money)"
2pac,"Lay back, I got some money to make, motherfucker
You know, I wonder if they'll laugh when I'm dead"
2pac,"In every club, I see you starin' like you want it
Well, baby, if you got it, better flaunt it"
2pac,"I sit here reminiscin' and I hope you listenin'
In the position to pressure and offer competition"
2pac,"They don't give a fuck about us
But while I'm kickin' rhymes"
2pac,"""What more could I say? I wouldn't be here today
If the old school didn't pave the way"""
2pac,"Misery is all I see, that's my mind state
My history with the police will shake the crime rate"
2pac,"Said he wanna be, shorty's gonna be a thug
Shorty's gonna be a thug"
2pac,"Seen drive-by's takin' lives, little kids die
Wonder why as I walk by"
2pac,"'Round and 'round
Back to get wrecked, all respect"
2pac,"(Hey, eyy-ayyaahhyy)
Thug style, baby, thug style, you know?"
2pac,"Sittin' there kickin' it with Malcolm 'til the day came
Little Latasha sho' grown"
2pac,"I trust you dearly, I shoot blind
In time I clock figures, droppin' niggas as we rise"
2pac,"Now, I'm strong enough to face the madness
Nickel bag full of cess weed laced with hash"
2pac,"Let me see you toss it up
I like the way you give it to me"
2pac,"My enemies your enemies
'Cause you ain't never had a friend like me"
2pac,"Witness peers catch gunshots; nobody cares
Seen the politicians ban us, they'd rather see us locked in chains"
2pac,"The foundation 4 my conception of Love
When I think of what a black woman should be"
2pac,"My mama smoked so goddamn much
When she was pregnant I'm surprised I ain't retarded"
2pac,"I settled down, had a family, workin' and night school
Every once in a while, I reminisce"
2pac,"Livin' in the fast lane, I'm for real (I'm livin' in the, I'm livin' in the-)
How do you want it? (I wanna know how you feel)"
2pac,"Sure you heard of all the freaky shit they say about me, huh?
Plus all you busters is jealous"
2pac,"Plus my P.O. won't let me hang with the brothers I grew up with
Tryna keep my head up and stay strong"
2pac,"Baby, let me hold ya: talk to my guns like they fly bitches
All you bustas best to run, look at my bitches!"
2pac,"Sayin' you ain't impressed with the money I'm makin'
Guess it's true what they tellin' me"
2pac,"And all my memories of seein' brothers bleed
And everybody grieves, but still nobody sees"
2pac,"And, uh, diggin' the plots (so what?)
Checkin' in the park, 'Pac"
2pac,"All eyes on me
Pay attention, my niggas! See how that shit go?"
2pac,"You say the words that can get me back in focus
When I was sick as a little kid"
2pac,"Creep though, weed smoke's in the air
Everywhere I go, it's all about the groupie hoes"
2pac,"My pain?
It runs deep, share it with me"
2pac,"We tradin' war stories, Outlawz on the rise
Jealous niggas I despise, look in my eyes"
2pac,"What's up in '9-6? Find tricks in drag
Fuck Dre! Tell that bitch he can kiss my ass!"
2pac,"(Throw yo' guns in the air!)
Friends... (My ghetto love song!"
2pac,"Five shots couldn't drop me, I took it and smiled
Now I'm 'bout to set the record straight"
2pac,"Got my mind on danger, never been a stranger to homicide
My city's full of gang-bangers and drive-by's"
2pac,"Screamin', ""Thug Life!"" every time they pass, all eyes on me
Live the life of a thug nigga until the day I die"
2pac,"Oh, I forgot! The DA
Yeah, that bitch had a lot to talk about in court"
2pac,"It wasn't always a hit-and-run relationship
It used to be love, happiness and companionship"
2pac,"Call me a Bad Boy killer, murder motherfuckers daily
Know the feds trail me, so my alias Makaveli"
2pac,"‘Cause your headin' for the club
In a skin-tight miniskirt, lookin' for some love"
2pac,"Know what I mean? 'Cause I ain't mad at cha
Heard y'all tearin' up shit out there"
2pac,"Now I gotta be suspicious when I bone
'Cause if I ain't sharp and heartless, them bitches'll start shit"
2pac,"I tell you it's a cold world, stay in school
You tell me it's a man's world, play the rules"
2pac,"I like the way you give it to me
Let me see you toss it up"
2pac,"Trapped in a corner, dark and I couldn't see the light
Thoughts in my mind was the nine and a better life"
2pac,"And nowadays, things change
Everyone's ashamed of the youth, 'cause the truth look strange"
2pac,"Nobody knows where we'll be
My enemies your enemies"
2pac,"Yo, Mo Bee, mane, drop that shit
(Hey, eyy-ayyaahhyy)"
2pac,"Proving nature's laws wrong it learned 2 walk
without having feet"
2pac,"Bet I roll on yo' ass, like an avalanche
A sole survivor, learned to get high and pull drive-bys"
2pac,"Where you goin', I been there, came back as lonely, homie
Steady flowin' against the grain, niggas still don't know me"
2pac,"You wonda why they call you bitch
I betcha, bitch"
2pac,"We tradin' war stories, we Outlawz on the rise
Jealous niggas I despise, look in my eyes"
2pac,"Only God can judge me
Only God can judge me"
2pac,"All the cuties know I'm under pressure, what do I do?
Getting shaky when she pull the dress up, and say it's cool"
2pac,"Nah, they can't keep the Black man down
Trapped"
2pac,"In the first verse, the rapper subliminally talks about his former close friend, Stretch, who he felt had betrayed him and helped set him... Read More
Niggas out there jealous 'cause we be bellin' with Death Row"
2pac,"‘Cause in the hood, true homies make you feel good
And half the times we be actin' up, call the cops"
2pac,"Nine-millimeter kickin' thinkin' about what the streets do to me
'Cause they never taught peace in the Black community"
2pac,"He got hit by a killer, preoccupied with being boss
Revenge is the method, whenever steppin', keep a weapon close"
2pac,"Coppers try to kill me, but they didn't know this was the wrong street
Bang bang, count another casualty"
2pac,"What do we have here now?
Do you wanna ride or die?"
2pac,"That's Money Over Bitches, 'cause they breed envy
Now, rule two is a hard one: watch for phonies"
2pac,"Biggie, remember when I used to let you sleep on the couch
And begged a bitch to let you sleep in the house? Uh"
2pac,"Livin' in the fast lane, I'm for real
How do you want it yeah?"
2pac,"And at the end I'll make a come up
Nigga, was raised up off of M.O.B"
2pac,"I ain't scared to die
(You ghetto niggas)"
2pac,"We had to grow dreads to change our description
Two cops is on the milk box missin'"
2pac,"It's getting drastic, niggas got automatics
My finger's on the trigger"
2pac,"'Bout to break my nigga out the fuckin' pen'
Mama raised a hellraiser"
2pac,"Lord, I lost so many peers
And shed so many tears"
2pac,"Rest in peace, young nigga, there's a heaven for a G
Be a lie If I told you that I never thought of death"
2pac,"Touch you in every secret place
I could hardly wait to bust freely"
2pac,"I'm a nut and drinkin' Hennessy
And gettin' high, on the lookout for my enemies"
2pac,"Hahahaha, yeah, nigga, no more pain
Prison ain't changed me, nigga, it made me worse"
2pac,"I no longer trust my homies — them phonies tried to do me
Smokin' too much weed, got me paranoid, stressed"
2pac,"Yo what's our motherfuckin' motto, nigga? Hennessy
They wanna know who's my role model, it's in a brown bottle"
2pac,"Smokin' sherm, drinkin' malt liquor — father, forgive 'em
Me and my girlfriend, hustlin'"
2pac,"I can make a motherfucker shake, rattle and roll
I'm full of liquor, thug nigga, quick to jab at them hoes"
2pac,"In an interview for Vlad TV Dalvin... Read More
How do you want it?"
2pac,"I ain't mad at cha
I ain't mad at cha"
2pac,"We tradin' war stories, Outlawz on the rise
Jealous niggas I despise, look in my eyes"
2pac,"You wonder why we call you bitch
If you wonder why we call you bitch"
2pac,"Let's go inside my astral plane (Yeah, nigga, no more pain)
I came to bring the pain, hardcore to the brain"
2pac,"You tell me it's a man's world, play the rules
And fade fools, break rules until we major"
2pac,"Plotting on murdering motherfuckers 'fore they get you
Picturing pitiful punk niggas copping pleas"
2pac,"That's the only place where thugs get in free
And you gotta be a G, at thug mansion"
2pac,"I betcha, bitch
You wonda why they call you bitch"
2pac,"Where my niggas at? Just my niggas now!
Be friends, tell me where my niggas at"
2pac,"Besides bumpin' and grindin', wasn't nothin' on our mind
In time, we'd learned to live a life of crime"
2pac,"Seen a show with Marvin Gaye last night, it had me shook
Drinkin' peppermint Schnapps, with Jackie Wilson and Sam Cooke"
2pac,"To put some green inside the palms of my empty hands
Just picture me rollin'"
2pac,"And I'm smokin' Junior M.A.F.I.A. in front of you, nigga
With the ready power tucked in my Guess under my Eddie Bauer"
2pac,"They try to playa hate, but they can't fade us though
We be mobbin' through the neighborhood, yeah"
2pac,"Now what if me turn this Hennessy into a robbery?
The prophecy probably suddenly switch how it supposed to be"
2pac,"The tears I cry R bitter and warm
They flow with life but take no form"
2pac,"Nuff a dem a steal in the name of the Lord
Dem a tell nuff lie, but holding a bird in a cloud"
2pac,"'Round and 'round, around we go
'Round and 'round, around we go"
2pac,"Nasty man, I'm here again
Don't want it to ever end"
2pac,"I betcha, bitch
You wonda why we call you bitch"
2pac,"Let me tell you 'bout life and 'bout the way it is
You see, we live by the gun, so we die by the guns, kid"
2pac,"Only God can judge me
Only God can judge me, only God"
2pac,"Hearin' thoughts of my enemies pleadin', ""Please!""
Busta-ass motherfuckers tried to flee"
2pac,"See me in flesh and test and get your chest blown
Straight out the West, don't get blown"
2pac,"And then I hit the studio, it's time to blow the block up
No hesitation, this information got you contemplatin'"
2pac,"I told you before, no time to waste
We can hook up at the store. Can you get away?"
2pac,"Niggas know me, player, I gotta stay true
Don't be a dumb motherfucker 'cause it's crazy after dark"
2pac,"Yeah (Let me see you toss it up)
Let me see you toss it up"
2pac,"Well, since you don't give a fuck, I be frontin'
I'ma drink my Hennessy like it ain't nothin'"
2pac,"As if they can't see the misery in which they live
Blame me for the outcome, ban my records – check it"
2pac,"'Cause you ain't ever had a friend like me
Nobody knows where we'll be"
2pac,"What you won't do, do for love?
You tried everything, but you don't give up"
2pac,"Down to ride to the bloody end
Just me and my girlfriend"
2pac,"Lock me in a cage, I'll display my rage
Surround the court buildin' with the gauge and spray"
2pac,"By me like they know me, smilin' as they laugh
I put up my middle finger, then I dash"
2pac,"Aww, yeah (Aww, yeah, aww, yeah)
We gotta make a change"
2pac,"You wonda why we call you bitch
I betcha, bitch"
2pac,"My attitude was ""fuck it,"" 'cause motherfuckers love it
To be a soldier, must maintain composure at ease"
2pac,"So much pressure in the air (I know, I know)
And I can't get away (Just for a little while love)"
2pac,"So when you see me, nigga, you better holla at me!
You better beware where you lay"
2pac,"Kinda suspicious, swearin' one day you might leave me
For somebody that's richer"
2pac,"Remember what my pops told me
Blasphemy!"
2pac,"Y'all niggas stop actin' like pussies out there, all right?
If any of you..."
2pac,"When I don't fuck with your punk crew
These are the tales for my niggas doin' time in the cell"
2pac,"Keep a nigga heavy in the game
Watch them hoes"
2pac,"Gettin' so high off that bomb, hopin' we make it to the better days
'Cause crime pays, and in time, you'll find a rhyme'll blaze"
