rapper,lyric
Eminem,they aint gonna know what hit em
Eminem,i said knock knock let the devil in
Eminem,shotgun pppellets in the felt pen
Eminem,cocked fuck around and catch a hot one
Eminem,itits evident im not done
Eminem,vvenomous the thoughts spun
Eminem,like a web and you just caught in em
Eminem,held against your will like a hubcap or mud flap
Eminem,beat strangler attack
Eminem,so this aint gonna feel like a love tap
Eminem,eat painkiller pills fuck up the track
Eminem,like whats her names at the wheel danica patrick
Eminem,threw the car into reverse at the indy a nut crashin
Eminem,into ya the back of it just mangled steel
Eminem,my mustang and the jeep wrangler grill
Eminem,with the front smashed much as my rear fender assassin
Eminem,slim be a combination of an actual kamikaze and gandhi 
Eminem,translation i will probably kill us both
Eminem,when i end up backin into ya
Eminem,you aint gonna be able to tell what the fucks happenin to ya
Eminem,when youre bit with the
Eminem,venom adrenaline momentum
Eminem,and im not knowin when im
Eminem,ever gonna slow up and im
Eminem,ready to snap any moment im
Eminem,thinkin its time to go get em
Eminem,they aint gonna know what hit em
Eminem,venom  adrenaline momentum
Eminem,and im not knowin when im
Eminem,ever gonna slow up and im
Eminem,ready to snap any moment im
Eminem,thinkin its time to go get em
Eminem,they aint gonna know what hit em
Eminem,i said knock knock let the devil in
Eminem,alien eeelliott phone home
Eminem,aint no telling when this chokehold
Eminem,on this game will end im loco
Eminem,became a symbiote so
Eminem,my fangs are in your throat ho
Eminem,youre snakebitten with myvenom
Eminem,with the ballpoint pen im
Eminem,gun cocked bump stock doubleaught buckshot
Eminem,tire thumper a garrote tie a couple knots
Eminem,fired up and caught fire juggernaut
Eminem,punk rock bitch its goin down like yung joc
Eminem,cause the doc put me on like sunblock
Eminem,why the fuck not you only get one shot
Eminem,ate shit til i cant taste it
Eminem,chased it with straight liquor
Eminem,then paint thinner then drank til i faint
Eminem,and awake with a headache
Eminem,and i take anything in rectangular shape
Eminem,then i wait to face the demons im bonded to
Eminem,cause theyre chasin me but im part of you
Eminem,so escapin me is impossible
Eminem,i latch onto you like aparasite
Eminem,and i probably ruined your parents life
Eminem,and your childhood too
Eminem,cause if im the music that yall grew up on
Eminem,im responsible for you retarded fools
Eminem,im the super villain dad and mom was losin their marbles to
Eminem,you marvel that eddie brock is you
Eminem,and im the suit so call me
Eminem,venom  adrenaline momentum
Eminem,and im not knowin when im
Eminem,ever gonna slow up and im
Eminem,ready to snap any moment im
Eminem,thinkin its time to go get em
Eminem,they aint gonna know what hit em
Eminem,venom  adrenaline momentum
Eminem,and im not knowin when im
Eminem,ever gonna slow up and im
Eminem,ready to snap any moment im
Eminem,thinkin its time to go get em
Eminem,may i have your attention please
Eminem,may i have your attention please
Eminem,will the real slim shady please stand up
Eminem,i repeat will the real slim shady please stand up
Eminem,were gonna have a problem here
Eminem,yall act like you never seen a white person before
Eminem,jaws all on the floor like pam like tommy just burst in the door
Eminem,and started whoopin her ass worse than before
Eminem,they first were divorced throwin her over furniture 
Eminem,its the return of the oh wait no way youre kidding
Eminem,he didnt just say what i think he did did he
Eminem,and dr dre said nothing you idiots
Eminem,dr dres dead hes locked in my basement 
Eminem,feminist women love eminem
Eminem,chicka chicka chicka slim shady im sick of him
Eminem,look at him walkin around grabbin his youknowwhat
Eminem,flippin the youknowwho yeah but hes so cute though
Eminem,yeah i probably got a couple of screws up in my head loose
Eminem,but no worse than whats goin on in your parents bedrooms
Eminem,sometimes i wanna get on tv and just let loose
Eminem,but cant but its cool for tom green to hump a dead moose
Eminem,my bum is on your lips my bum is on your lips
Eminem,and if im lucky you might just give it a little kiss
Eminem,and thats the message that we deliver to little kids
Eminem,and expect them not to know what a womans clitoris is
Eminem,of course theyre gonna know what intercourse is
Eminem,by the time they hit fourth grade
Eminem,theyve got the discovery channel dont they
Eminem,we aint nothin but mammalswell some of us cannibals
Eminem,who cut other people open like cantaloupes
Eminem,but if we can hump dead animals and antelopes
Eminem,then theres no reason that a man and another man cant elope
Eminem,but if you feel like i feel i got the antidote
Eminem,women wave your pantyhose sing the chorus and it goes
Eminem,im slim shady yes im the real shady
Eminem,all you other slim shadys are just imitating
Eminem,so wont the real slim shady please stand up
Eminem,please stand up please stand up
Eminem,cause im slim shady yes im the real shady
Eminem,all you other slim shadys are just imitating
Eminem,so wont the real slim shady please stand up
Eminem,please stand up please stand up
Eminem,will smith dont gotta cuss in his raps to sell records 
Eminem,well i do so fuck him and fuck you too
Eminem,you think i give a damn about a grammy
Eminem,half of you critics cant even stomach me let alone stand me
Eminem,but slim what if you win wouldnt it be weird
Eminem,why so you guys could just lie to get me here
Eminem,so you can sit me here next to britney spears
Eminem,shit christina aguilera better switch me chairs
Eminem,so i can sit next to carson daly and fred durst
Eminem,and hear em argue over who she gave head to first
Eminem,little bitch put me on blast on mtv
Eminem,yeah hes cute but i think hes married to kim heehee
Eminem,i should download her audio on mp3
Eminem,and show the whole world how you gave eminem vd 
Eminem,im sick of you little girl and boy groups
Eminem,all you do is annoy me so i have been sent here to destroy you
Eminem,and theres a million of us just like me
Eminem,who cuss like me who just dont give a fuck like me
Eminem,who dress like me walk talk and act like me
Eminem,and just might be the next best thing but not quite me
Eminem,cause im slim shady yes im the real shady
Eminem,all you other slim shadys are just imitating
Eminem,so wont the real slim shady please stand up
Eminem,please stand up please stand up
Eminem,cause im slim shady yes im the real shady
Eminem,all you other slim shadys are just imitating
Eminem,so wont the real slim shady please stand up
Eminem,please stand up please stand up
Eminem,im like a head trip to listen to cause im only givin you
Eminem,things you joke about with your friends inside your livin room
Eminem,the only difference is i got the balls to say it in front of yall
Eminem,and i dont gotta be false or sugarcoat it at all
Eminem,i just get on the mic and spit it
Eminem,and whether you like to admit it i just shit it
Eminem,better than ninety percent of you rappers out can
Eminem,then you wonder how can kids eat up these albums like valiums
Eminem,its funny cause at the rate im going when im thirty
Eminem,ill be the only person in the nursing home flirting
Eminem,pinching nurses asses when im jacking off with jergens
Eminem,and im jerking but this whole bag of viagra isnt working
Eminem,and every single person is a slim shady lurking
Eminem,he could be working at burger king spittin on your onion rings
Eminem,or in the parking lot circling screaming i dont give a fuck
Eminem,with his windows down and his system up
Eminem,so will the real shady please stand up
Eminem,and put one of those fingers on each hand up
Eminem,and be proud to be outta your mind and outta control
Eminem,and one more time loud as you can how does it go
Eminem,im slim shady yes im the real shady
Eminem,all you other slim shadys are just imitating
Eminem,so wont the real slim shady please stand up
Eminem,please stand up please stand up
Eminem,cause im slim shady yes im the real shady
Eminem,all you other slim shadys are just imitating
Eminem,so wont the real slim shady please stand up
Eminem,please stand up please stand up
Eminem,cause im slim shady yes im the real shady
Eminem,all you other slim shadys are just imitating
Eminem,so wont the real slim shady please stand up
Eminem,please stand up please stand up
Eminem,cause im slim shady yes im the real shady
Eminem,all you other slim shadys are just imitating
Eminem,so wont the real slim shady please stand up
Eminem,please stand up please stand up
Eminem,ha ha i guess theres a slim shady in all of us
Eminem,ive been a liar been a thief
Eminem,been a lover been a cheat
Eminem,all my sins need holy water feel it washing over me
Eminem,well little one i dont want to admit to something
Eminem,if all its gonna cause is pain
Eminem,truth and my lies right now are falling like the rain
Eminem,so let the river run
Eminem,hes comin home with his neck scratched to catch flack
Eminem,sweat jackets and dress slacks mismatched
Eminem,on his breaths jack hes a sex addict
Eminem,and she just wants to exact revenge and get back
Eminem,its a chess match shes on his back like a jetpack
Eminem,shes kept track of all his internet chats
Eminem,and guess who just happens to be movin on to the next
Eminem,actually just shit on my last chick and she has what my ex lacks
Eminem,cause she loves danger psychopath
Eminem,and you dont fuck with no mans girl even i know that
Eminem,but shes devised some plan to stab him in the back
Eminem,knife in hand says their relationships hangin by a strand
Eminem,so shes been on the web lately
Eminem,says maybe shell be my gwen stacy to spite her man
Eminem,and i know shes using me to try to play him i dont care
Eminem,hi suzanne but i shoulda said bye suzanne
Eminem,after the first night but tonight i am
Eminem,ive been a liar been a thief
Eminem,been a lover been a cheat
Eminem,all my sins need holy water feel it washing over me
Eminem,well little one i dont want to admit to something
Eminem,if all its gonna cause is pain
Eminem,the truth and my lies now are falling like the rain
Eminem,so let the river run
Eminem,a onenight stand turned a twonight stand
Eminem,it was come sunlight scram now we hug tight and
Eminem,he found out now she feels deserted and used
Eminem,cause he left so what he did it first to her too
Eminem,now how am i supposed to tell this girl that were through
Eminem,its hard to find the words im aloof nervous and sue
Eminem,dont want this to hurt but what you deserve is the truth
Eminem,dont take it personal i just cant say this in person to you
Eminem,so i revert to the studio like holeinthewall diners
Eminem,dont have to be reserved in a booth
Eminem,i just feel like the person who im turning intos
Eminem,irreversible i preyed on you like its church at the pew
Eminem,and now that i got you i dont want you
Eminem,took advantage in my thirst to pursue
Eminem,why do i do this dirt that i do
Eminem,get on my soapbox and preach my sermon and speech
Eminem,detergent and bleach is burnin the wound
Eminem,cause now with her in the womb
Eminem,we cant bring her in this world shoulda knew
Eminem,to use protection fore i bit into your forbidden fruit
Eminem,fuck
Eminem,ive been a liar been a thief
Eminem,been a lover been a cheat
Eminem,all my sins need holy water feel it washing over me
Eminem,well little one i dont want to admit to something
Eminem,if all its gonna cause is pain
Eminem,the truth and my lies now are falling like the rain
Eminem,so let the river run
Eminem,my names  my names 
Eminem,river  river run
Eminem,call me  call me 
Eminem,river  well let the river run
Eminem,always the bridesmaid never the bride hey
Eminem,fuck can i say if life was a highway
Eminem,and deceit was an enclave id be swerving in five lanes
Eminem,speeds at a high rate like im slidin on ice maybe
Eminem,thats why i may have came at you sideways
Eminem,i cant keep my lies straight
Eminem,but i made you terminate my baby
Eminem,this love triangle left us in a wreck tangled
Eminem,what else can i say it was fun for a while
Eminem,bet i really woulda loved your smile
Eminem,didnt really wanna abort but fuck it
Eminem,whats one more lie to tell our unborn child
Eminem,ive been a liar been a thief
Eminem,been a lover been a cheat
Eminem,all my sins need holy water feel it washing over me
Eminem,well little one 
Eminem,i dont want to admit to something 
Eminem,if all its gonna cause is pain
Eminem,the truth and my lies now are falling like the rain
Eminem,now this shits about to kick off this party looks wack
Eminem,lets take it back to straight hiphop and start it from scratch
Eminem,im bout to bloody this track up everybody get back
Eminem,thats why my pen needs a pad cause my rhymes on the rag
Eminem,just like i did with addiction im bout to kick it
Eminem,like a magician critics i turn to crickets
Eminem,got em still on the fence whether to picket
Eminem,but quick to get it impaled when i tell em stick it
Eminem,so sick im looking palewait thats my pigment
Eminem,bout to go ham ya bish shout out to kendrick
Eminem,lets bring it back to that vintage slim bitch
Eminem,the art of mcing mixed with da vinci and mc ren
Eminem,and i dont mean stimpys friend bitch
Eminem,been public enemy since you thought pe was gym bitch
Eminem,kick your shoes off let your hair down
Eminem, all night long
Eminem,grow your beard out just weird out
Eminem, all night long
Eminem,were gonna rock this house until we knock it down
Eminem,so turn the volume loud
Eminem,cause its mayhem til the am
Eminem,so baby make just like kfed
Eminem,and let yourself go let yourself go
Eminem,say fuck it before we kick the bucket
Eminem,lifes too short to not go for broke
Eminem,so everybody everybody 
Eminem,grab your vial yeah
Eminem,guess its just the way that im dressed aint it
Eminem,khakis pressed nike shoes crispy and fresh laced
Eminem,so i guess it aint that aftershave
Eminem,or cologne that made em just faint
Eminem,plus i showed up with a coat fresher than wet paint
Eminem,so if love is a chess game check mate
Eminem,but girl your bodys bangin jump me in dang bangbang
Eminem,yes siree bob i was thinking the same thang
Eminem,so come get on this kids rock baw with da baw dangdang
Eminem,powppppow chica pow chica wowwow
Eminem,got your gal blowin up a valve vvvalvevalve
Eminem,aint slowin it down throw in the towel tttoweltowel
Eminem,dumb it down i dont know how huhhuh howhow
Eminem,at least i know that i dont know
Eminem,question is are you bozos smart enough to feel stupid
Eminem,hope so now ho
Eminem,kick your shoes off let your hair down
Eminem, all night long
Eminem,grow your beard out just weird out
Eminem, all night long
Eminem,were gonna rock this house until we knock it down
Eminem,so turn the volume loud
Eminem,cause its mayhem til the am
Eminem,so crank the bass up like crazy
Eminem,and let yourself go let yourself go
Eminem,say fuck it before we kick the bucket
Eminem,lifes too short to not go for broke
Eminem,so everybody everybody 
Eminem,get your vinyls
Eminem,and they say that love is powerful as cough syrup in styrofoam
Eminem,all i know is i fell asleep and woke up in that monte carlo
Eminem,with the ugly kardashian lamar oh
Eminem,sorry yowe done both set the bar low
Eminem,far as hard drugs are though thats the past
Eminem,but i done did enough codeine to knock future into tomorrow
Eminem,and girl i aint got no money to borrow
Eminem,but i am tryin to find a way to get you alone car note
Eminem,oh marshall mathers
Eminem,shithead with a potty mouth get the bar of soap lathered
Eminem,kangols and carheartless cargos
Eminem,girl youre fixin to get your heart broke
Eminem,dont be absurd maam you birdbrain baby
Eminem,i aint called anybody baby since birdman unless youre a swallow 
Eminem,word rick 
Eminem,but dont get discouraged girl
Eminem,this is your jam unless you got toe jam
Eminem,kick your shoes off let your hair down
Eminem, all night long
Eminem,grow your beard out just weird out
Eminem, all night long
Eminem,were gonna rock this house until we knock it down
Eminem,so turn the volume loud
Eminem,cause its mayhem til the am
Eminem,so baby make just like kfed
Eminem,and let yourself go let yourself go
Eminem,say fuck it before we kick the bucket
Eminem,lifes too short to not go for broke
Eminem,so everybody everybody 
Eminem,grab your vial yeah
Eminem,were gonna rock this house until we knock it down
Eminem,so turn the volume loud
Eminem,cause its mayhem til the am
Eminem,so crank the bass up like crazy
Eminem,and let yourself go let yourself go
Eminem,say fuck it before we kick the bucket
Eminem,lifes too short to not go for broke
Eminem,so everybody everybody 
Eminem,tay keith fuck these niggas up
Eminem,yeah
Eminem,brain dead eye drops
Eminem,pain meds cyclops 
Eminem,daybed ipod
Eminem,mayback maybach 
Eminem,trainwrecks sidewalks
Eminem,payless hightops 
Eminem,kfed ihop
Eminem,playtex icebox 
Eminem,thats how much we have in common 
Eminem,thats how much we have in common 
Eminem,up on this mic when were on it 
Eminem,thats how much we have in common 
Eminem,thats how much we have in common 
Eminem,thats how much we have in common
Eminem,we are not alike theres nada like us on the mic 
Eminem,i dont do jordans and audemars
Eminem,i do explosions and molotovs
Eminem,yall blowin smoke as if yall aint washed
Eminem,i blow the smoke from the car exhaust
Eminem,flyin to a party i am not invited to feelin like the streets need me 
Eminem,i aint gotta dance long as my ferrari spider move like c breezy
Eminem,i dont gotta hire goons
Eminem,id rather try to buy the moon and breathe freely
Eminem,the sky is blue the tires new
Eminem,the maserati white and cool like geazy
Eminem,why these dudes tryna figure out
Eminem,how to do a freestyle as fly as me 
Eminem,im confused tryna figure out
Eminem,how to do kapri styles and mya g
Eminem,everybody doin chick joints
Eminem,prolly rob these little dudes at fist point
Eminem,member everybody used to bite nickel
Eminem,now everybody doin bitcoin
Eminem,we dont got nothin in common 
Eminem,we dont got nothin in common 
Eminem,yall into stuff like doubledup styrofoam cups
Eminem,on them uppersanddowners 
Eminem,im into stuff like doublin commas
Eminem,find me a brother whos solid
Eminem,to count this shit up and then bust this shit down
Eminem,when the cops hit us up we can flush this shit down
Eminem,we cannot give a fuck shit a fuckin colonic
Eminem,sellin your cock and your butt for a follow or
Eminem,possible couple of dollars you powder sniff
Eminem,now you slippin call it a power trip a product of politics
Eminem,yall went from profit and toppin the charts
Eminem,to dropped in the park in a pile of shit
Eminem,knowledge is power but powerless
Eminem,if youve got it and you do not acknowledge it
Eminem,yall music sound like dr seuss inspired it
Eminem,hirin strippers prostitute retirin
Eminem,we can spit it for your advance
Eminem,im fit to be king youre cut out to fit in prince pants
Eminem,you niggas
Eminem,brain dead eye drops
Eminem,pain meds cyclops 
Eminem,daybed ipod
Eminem,mayback maybach 
Eminem,trainwrecks sidewalks
Eminem,payless hightops 
Eminem,kfed ihop
Eminem,playtex icebox 
Eminem,thats how much we have in common 
Eminem,thats how much we have in common 
Eminem,up on this mic when were on it 
Eminem,thats how much we have in common 
Eminem,thats how much we have in common 
Eminem,thats how much we have in common
Eminem,we are not alike theres nada like us
Eminem,you say you affiliated with murderers killers 
Eminem,the people you run with are thuggin 
Eminem,but you just a wannabe gunner 
Eminem,like you was gonna do somethin
Eminem,actin like you catchin bodies 
Eminem,and you got juice lil youngin you buggin
Eminem,you aint never even been charged in connection with battery
Eminem,bitch you aint plugged into nothin
Eminem,rap god spit lyrical bullets 
Eminem,and gats cock your partners better tool up
Eminem,this has not to do with muscular
Eminem,but have guns for sure you better put a
Eminem,strap on other words if youre gonna
Eminem,roll up with your  youre gon need a arsenal
Eminem,cause this bar is over your head
Eminem,so you bettergun cockhave arms if youre gonna pull up 
Eminem,oh you run the streets huh
Eminem,now you wanna come and fuck with me huh
Eminem,this little cocksucker he must be feelin himself
Eminem,he wants to keep up his tough demeanour
Eminem,so he does a feature decides to team up with n9na 
Eminem,but next time you dont gotta use tech n9ne
Eminem,if you wanna come at me with a sub machine gun
Eminem,and im talkin to you
Eminem,but you already know who the fuck you are kelly
Eminem,i dont use sublims and sure as fuck dont sneakdiss
Eminem,but keep commenting on my daughter hailie
Eminem,i keep on telling motherfuckers
Eminem,but just in case you forgot really and need ja memories jarred like strawberry or pineapple apricot jelly
Eminem,i respond rarely but this time shady bout to sound off
Eminem,like a fuckin cocked semiglock demigod
Eminem,let me put a fuckin silencer on this little
Eminem,nonthreatening blond fairy cornball takin shots at me
Eminem,youre not ready fool break yourself like rock steady crew
Eminem,obviously im not getting through
Eminem,we can get it poppin like redenbach letting off like remy ma
Eminem,heavy artillery godzilla harsh with a hard shell
Eminem,with a motherfucking heart bigger than bizarres belly
Eminem,only time youll ever say i lost
Eminem,youll be talkin bout fetty wap better call diddy
Eminem,just to try to get me off of ya
Eminem,better hope i dont call trick trick
Eminem,bitch this shit dont fly in our city
Eminem,punk you dont disrespect ogs rip prodigy
Eminem,sold dre my soul and then told him the moment he signed me
Eminem,that id be the most hated though made it
Eminem,so that theres no shame its okay to own it
Eminem,cause life is a bitch shes a bowlegged ho
Eminem,but now those days are over
Eminem,i harvey weinstein a bathrobe hanging open
Eminem,my code name is groper i role play with lotion
Eminem,i fucked on the world then i throw away the trojan
Eminem,old lederhosen with homemade explosives
Eminem,ill blow eighty holes in you
Eminem,dont make me go in i o j the flows
Eminem,and im insult to injury rolaids to goldman
Eminem,im throat spray and motrin i throated nicole
Eminem,as they both there to choke and my whole blade is soakin
Eminem,a doubleedge sword it cuts both ways i poke and
Eminem,i stick and i turn in a rotating motion
Eminem,invisible with the pen im at the pinnacle to sick individuals
Eminem,stick my dick and put the tip in at minimal
Eminem,im fuckin these syllables i let em lick on my genitals
Eminem,im a fucking invincible indefensible despicable difficult prick
Eminem,a little bit unpredictable i spit the formidable
Eminem,that you bitches fuckin with the original
Eminem,i consider me and nickel identical but not us
Eminem,the only thing we have in commons im a dick and you suck
Eminem,otherwise one has nothin to do with the other
Eminem,none come close to skunk bug soldier
Eminem,tongue shrub shoulder one month older
Eminem,sponge mug folder nun rug holster
Eminem,lug nut coaster lung jug roaster
Eminem,young thug poster unplugged toaster 
Eminem,thats how much we have in common 
Eminem,thats how much we have in common 
Eminem,up on this mic when were on it 
Eminem,thats how much we have in common 
Eminem,thats how much we have in common 
Eminem,thats how much we have in common
Eminem,you know everybodys been tellin me
Eminem,what they think about me for the last few months
Eminem,its too loud
Eminem,maybe its time i tell em what i think about them
Eminem,cant hear it coming down the hallway stairs from the parking lot
Eminem,its too loud
Eminem,threes not a crowd all up in it
Eminem,slow fire
Eminem,dont fall on my face
Eminem,dont fall on my faith oh
Eminem,dont fall on my fate
Eminem,dont fall on my faith oh
Eminem,dont fall on my fate
Eminem,dont fall on my
Eminem,gotta concentrate against the clock i race
Eminem,got no time to waste im already late i got a marathoners pace
Eminem,went from addict to a workaholic word to dr dre
Eminem,in that first marijuana tapeguess i got a chronic case 
Eminem,and i aint just blowin smoke less its in your mamas face
Eminem,i know this time paul and dre
Eminem,they wont tell me what not to say 
Eminem,and though me and my party days
Eminem,have all pretty much parted ways
Eminem,youd swear to god i forgot im the guy that made not afraid 
Eminem,one last time for charlamagne
Eminem,if my response is late its just how long it takes
Eminem,to hit my fuckin radar im so far away 
Eminem,these rappers are like hunger games
Eminem,one minute theyre mockin jay 
Eminem,next minute they get their style from migos or they copy drake
Eminem,maybe i just dont know when to turn around and walk away
Eminem,but all the hate i call it walkonwatergate
Eminem,ive had as much as i can tolerate
Eminem,im sick and tired of waitin i done lost my patience
Eminem,i can take all of you motherfuckers on at once 
Eminem,you wanted shady you got him
Eminem,dont fall on my face 
Eminem,dont fall on my faith oh
Eminem,dont fall on my fate 
Eminem,dont fall on my faith oh 
Eminem,dont fall on my fate 
Eminem,somebody tell budden before i snap he better fasten it
Eminem,or have his body bag get zipped
Eminem,the closest thing hes had to hits is smackin bitches 
Eminem,and dont make me have to give it back to akademiks
Eminem,say this shit is trash again ill have you twisted
Eminem,like you had it when you thought you had me slippin at the telly 
Eminem,even when im gettin brain youll never catch me with a thot
Eminem,lacking with it he aint spittin like this on his last shit
Eminem,ho you better go back and listen
Eminem,you know me better thinkin ill slow or let up
Eminem,call it trap cause its a total setup
Eminem,hopin that you rappers fall in that
Eminem,dre said hold your head up kathy griffin
Eminem,stackin ammunition slap the clip in cock it back on competition
Eminem,this is how i shot ahead gabby gifford
Eminem,my attack is vicious jack the ripper back in business
Eminem,tyler create nothin i see why you called yourself a  bitch
Eminem,its not just cause you lack attention
Eminem,its because you worship d12s balls youre sackreligious
Eminem,if youre gonna critique me
Eminem,you better at least be as good or better
Eminem,get earl the hooded sweater
Eminem,whatever his name is to help you put together
Eminem,some words more than just two letters
Eminem,the fans waited for this moment like that feature
Eminem,when i stole the show  sorry if i took forever 
Eminem,dont fall on my face 
Eminem,dont fall on my faith oh 
Eminem,dont fall on my fate 
Eminem,dont fall on my faith oh 
Eminem,dont fall on my fate 
Eminem,just remember i was here before you
Eminem,and ill be here after you make your runin for you
Eminem,detractors ima have to fuck pitchfork with a corkscrew 
Eminem,just what the doctor ordered
Eminem,revenge is the best medicine 
Eminem,increase the dose from least to most
Eminem,and then tell the grammys to go and fuck themselves
Eminem,they suck the blood from all the biggest artists like some leeches
Eminem,so they nominate em get em there get a name to mc the show
Eminem,every parasite needs a host 
Eminem,then give album of the year to somebody that no ones ever even heard of
Eminem,all i know is i wrote every single word of everything i ever murdered
Eminem,time to separate the sheep from goats 
Eminem,and i got no faith in your writers i dont believe in ghosts
Eminem,when rap needed it most i was that wing and a prayer 
Eminem,a beacon of hope put a bird in the air
Eminem,somewhere some kid is bumpin this while he lipsyncs in the mirror
Eminem,thats who im doin it for the rest i dont really even care
Eminem,but you would think im carryin a oxford dictionary in my pocket
Eminem,how im buryin these artists
Eminem,on a scale of turnt youre minus
Eminem,mine says very yours says hardly
Eminem,and whats scary is you probly can compare me to your car cause im just barely gettin started 
Eminem,and far as lord jamar you better leave me the hell alone
Eminem,or ill show you an elvis clone
Eminem,walk up in this house you own thrust my pelvic bone
Eminem,use your telephone and go fetch me the remote
Eminem,put my feet up and just make myself at home 
Eminem,i belong here clown dont tell me bout the culture
Eminem,i inspired the hopsins the logics the coles the
Eminem,seans the kdots the 59s and oh
Eminem,brought the world 50 cent you did squat piss and moan
Eminem,but im not gonna fall bitch 
Eminem,its too loud
Eminem,cant hear it coming down the hallway stairs from the parking lot
Eminem,its too loud
Eminem,threes not a crowd all up in it
Eminem,cause sometimes you just feel tired
Eminem,yo left yo left
Eminem,feel weak and when you feel weak
Eminem,yo left right left
Eminem,you feel like you wanna just give up
Eminem,yo left yo left
Eminem,but you gotta search within you
Eminem,yo left right left
Eminem,try to find that inner strength and just pull that shit out of you
Eminem,yo left yo left
Eminem,and get that motivation to not give up
Eminem,yo left right left
Eminem,and not be a quitter no matter how bad
Eminem,yo left yo left
Eminem,you wanna just fall flat on your face and collapse
Eminem,yo left right left
Eminem,til i collapse im spillin these raps long as you feel em
Eminem,til the day that i drop youll never say that im not killin em
Eminem,cause when i am not then ima stop pennin em
Eminem,and i am not hiphop and im just not eminem
Eminem,subliminal thoughts when ima stop sendin em
Eminem,women are caught in webs spin em and hock venom
Eminem,adrenaline shots of penicillin could not get the illin to stop
Eminem,amoxicillins just not real enough
Eminem,the criminal copkillin hiphop villain
Eminem,a minimal swap to cop millions of pac listeners
Eminem,youre comin with me feel it or not
Eminem,youre gonna fear it like i showed ya the spirit of god lives in us
Eminem,you hear it a lot lyrics to shock
Eminem,is it a miracle or am i just product of pop fizzin up
Eminem,fa shizzle my wizzle this is the plot listen up
Eminem,you bizzles forgot slizzle does not give a fuck
Eminem,til the roof comes off til the lights go out
Eminem,til my legs give out cant shut my mouth
Eminem,til the smoke clears out am i high perhaps
Eminem,ima rip this shit til my bones collapse
Eminem,til the roof comes off til the lights go out
Eminem,until the roof until the roof
Eminem,til my legs give out cant shut my mouth
Eminem,the roof comes off the roof comes off
Eminem,til the smoke clears out am i high perhaps
Eminem,until my legs until my legs
Eminem,ima rip this shit til my bones collapse
Eminem,give out from underneath me
Eminem,music is like magic theres a certain feelin you get
Eminem,when you real and you spit and people are feelin your shit
Eminem,this is your moment and every single minute you spend
Eminem,tryna hold on to it cause you may never get it again
Eminem,so while youre in it try to get as much shit as you can
Eminem,and when your run is over just admit when its at its end
Eminem,cause im at the end of my wits with half the shit that gets in
Eminem,i got a list heres the order of my list that its in
Eminem,it goes reggie jayz 2pac and biggie
Eminem,andre from outkast jada kurupt nas and then me
Eminem,but in this industry im the cause of a lot of envy
Eminem,so when im not put on this list the shit does not offend me
Eminem,thats why you see me walk around like nothings botherin me
Eminem,even though half you people got a fuckin problem with me
Eminem,you hate it but you know respect you got to give me
Eminem,the presss wet dream like bobby and whitney  nate hit me
Eminem,til the roof comes off til the lights go out
Eminem,til my legs give out cant shut my mouth
Eminem,til the smoke clears out am i high perhaps
Eminem,ima rip this shit til my bones collapse
Eminem,til the roof comes off til the lights go out
Eminem,until the roof until the roof
Eminem,til my legs give out cant shut my mouth
Eminem,the roof comes off the roof comes off
Eminem,til the smoke clears out am i high perhaps
Eminem,until my legs until my legs
Eminem,ima rip this shit til my bones collapse
Eminem,give out from underneath me
Eminem,soon as a verse starts i eat at an mcs heart
Eminem,what is he thinking how not to go against me smart
Eminem,and its absurd how people hang on every word
Eminem,ill probly never get the props i feel i ever deserve
Eminem,but ill never be served my spot is forever reserved
Eminem,if i ever leave earth that would be the death of me first
Eminem,cause in my heart of hearts i know nothin could ever be worse
Eminem,thats why im clever when i put together every verse
Eminem,my thoughts are sporadic i act like im an addict
Eminem,i rap like im addicted to smack like im kim mathers
Eminem,but i dont wanna go forth and back in constant battles
Eminem,the fact is i would rather sit back and bomb some rappers
Eminem,so this is like a fullblown attack im launchin at em
Eminem,the track is on some battlin raps who wants some static
Eminem,cause i dont really think that the fact that im slim matters
Eminem,a plaque and platinum status is wack if im not the baddest so
Eminem,til the roof comes off til the lights go out
Eminem,til my legs give out cant shut my mouth
Eminem,til the smoke clears out am i high perhaps
Eminem,ima rip this shit til my bones collapse
Eminem,til the roof comes off til the lights go out
Eminem,until the roof until the roof
Eminem,til my legs give out cant shut my mouth
Eminem,the roof comes off the roof comes off
Eminem,til the smoke clears out am i high perhaps
Eminem,until my legs until my legs
Eminem,ima rip this shit til my bones collapse
Eminem,give out from underneath me
Eminem,until the roof until the roof
Eminem,the roof comes off the roof comes off
Eminem,until my legs until my legs
Eminem,give out from underneath me
Eminem,i i will not fall i will stand tall
Eminem,now everybody from the 313
Eminem,put your motherfuckin hands up and follow me
Eminem,everybody from the 313
Eminem,put your motherfuckin hands up look look
Eminem,now while he stands tough
Eminem,notice that this man did not have his hands up
Eminem,this free worlds got you gassed up
Eminem,now whos afraid of the big bad wolf
Eminem,one two three and to the four
Eminem,one pac two pac three pac four
Eminem,four pac three pac two pac one
Eminem,youre pac hes pac no pac none
Eminem,this guy aint no motherfuckin mc
Eminem,i know everything hes bout to say against me
Eminem,i am white i am a fucking bum
Eminem,i do live in a trailer with my mom
Eminem,my boy future is an uncle tom
Eminem,i do got a dumb friend named cheddar bob
Eminem,who shoots himself in his leg with his own gun
